SA2 Code,SA2 Name,Region (SA3),LGA Code,LGA Name,Total Businesses,Manufacturing Businesses,Healthcare Businesses,Tourism Businesses,Unemployment,Unemployment Rate (%),JobSeeker Payment,Labour Force,Value of building job(s),Number of dwellings approved,Resident Spend,Visitor Spend,House Price (Current),House Rent (P/W),Listing Visits per Property,Unit Price (Current),Unit Rent (P/W),Median Household Income,Total Population,Population Change 2023-24,Net overseas migration,Net internal migration,Natural increase in ERP,Median Age,% Under 20,% Over 69,% Born Overseas,% Language Other Than English,Population density 2024 (persons/km2),% Completed Year 12,% Bachelor Degree,% Indigenous,Total Indigenous,Homelessness,Age Pension,Pension Concession Card,Commonwealth Rent Assistance,Family Tax Benefit A,Youth Allowance (other),Parenting Payment Single,Health Care Card,Carer Allowance,Disability Support Pension,Airbnb Occupancy Rate,Airbnb ADR,Airbnb  Gross Revenue,Airbnb Active Listings,Index of Relative Socio-economic Advantage and Disadvantage,Index of Education and Occupation,Index of Relative Socio-economic Disadvantage ,Index of Economic Resources,"Assault Rate (per 1,000)","Theft Rate (per 1,000)","Intimidation, Stalking & Harassment Rate (per 1,000)","Malicious Damage to Property Rate (per 1,000)","Drug Offences Rate (per 1,000)"
120031394,Dulwich Hill - Lewisham,Strathfield - Burwood - Ashfield,14170,Inner West,1354.0,36.0,124.0,54.0,615.0,5.0,485.0,12393.0,,,,,,,,,,1837.0,18681.0,196.0,322.0,-208.0,82.0,37.0,,,32.88,30.0,6914.8,57.19,20.74,1.49,251.0,121.0,1300.0,2120.0,930.0,340.0,40.0,95.0,630.0,260.0,370.0,,,,,1105.692916,1136.8504283,1050.854798,973.9932154,,,,,
115011555,Castle Hill - North,Baulkham Hills,17420,The Hills,1465.0,42.0,154.0,60.0,,,160.0,,392299.058,397.0,,,,,,,,2344.0,12572.0,56.0,252.0,-198.0,2.0,41.0,,,36.67,31.37,1844.8,54.4,18.58,0.33,39.0,55.0,885.0,1235.0,330.0,310.0,10.0,55.0,330.0,160.0,140.0,,,,,1130.677485,1122.5759918,1092.161404,1118.878635,,,,,
122021691,North Narrabeen - Warriewood (South),Pittwater,15990,Northern Beaches,,,,,,,,,,,,,,,,,,,11056.0,-40.0,183.0,-254.0,31.0,,,,,,2125.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
118021651,Coogee - Clovelly,Eastern Suburbs - South,16550,Randwick,,,,,,,,,,,,,,,,,,,20427.0,263.0,613.0,-557.0,207.0,,,,,,7556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122021421,Bayview - Elanora Heights,Pittwater,15990,Northern Beaches,1528.0,51.0,57.0,30.0,231.0,3.9,115.0,5927.0,41142.899999999994,16.0,,,,,,,,2127.0,11332.0,38.0,146.0,-105.0,-3.0,47.0,,,23.69,7.91,175.5,50.12,16.28,0.49,53.0,34.0,945.0,1230.0,200.0,185.0,5.0,40.0,165.0,105.0,120.0,,,,,1124.487756,1107.0656676,1097.785493,1120.358113,,,,,
117031646,Ultimo,Sydney Inner City,17200,Sydney,,,,,,,,,,,,,,,,,,,10044.0,723.0,1158.0,-477.0,42.0,,,,,,17974.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
111031233,Wallsend - Elermore Vale,Newcastle,15900,Newcastle,1127.0,26.0,125.0,48.0,668.0,5.8,860.0,11547.0,47450.849,62.0,,,,,,,,1189.0,21691.0,296.0,163.0,148.0,-15.0,40.0,21.56,16.79,13.63,10.95,1007.9,33.53,9.92,4.33,849.0,204.0,3055.0,5215.0,1420.0,985.0,150.0,305.0,1145.0,655.0,1105.0,,,,,960.9333841,967.85329052,976.4232152,962.2779259,,,,,
122031694,Dee Why (South) - North Curl Curl,Warringah,15990,Northern Beaches,,,,,,,,,,,,,,,,,,,9396.0,35.0,188.0,-215.0,62.0,,,,,,4718.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
115011554,Castle Hill - East,Baulkham Hills,14000,Hornsby,447.0,7.0,54.0,14.0,,,30.0,,6384.614,0.0,,,,,,,,1695.0,5384.0,-10.0,91.0,65.0,-166.0,51.0,,,39.46,33.02,2598.5,50.21,18.68,0.23,13.0,,780.0,870.0,120.0,90.0,5.0,5.0,95.0,50.0,40.0,,,,,1089.270164,1084.2838952,1059.096521,1079.226558,,,,,
125021477,Ermington - Rydalmere,Carlingford,16260,Parramatta,2995.0,134.0,149.0,118.0,616.0,3.8,770.0,16313.0,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,2045.0,3710.0,895.0,1010.0,50.0,150.0,1075.0,580.0,765.0,,,,,1044.723644,1060.44054,1007.926055,998.8315132,,,,,
